season,value,group,bank
1-2022,"370,927,945,000",nhom-1,ACB
1-2022,"1,607,411,000",nhom-2,ACB
1-2022,"273,424,000",nhom-3,ACB
1-2022,"911,934,000",nhom-4,ACB
1-2022,"1,933,879,000",nhom-5,ACB
1-2022,"1,384,379,024,000",nhom-1,BID
1-2022,"19,744,661,000",nhom-2,BID
1-2022,"2,276,244,000",nhom-3,BID
1-2022,"2,770,462,000",nhom-4,BID
1-2022,"8,683,756,000",nhom-5,BID
1-2022,"1,200,713,556,000",nhom-1,CTG
1-2022,"13,543,998,000",nhom-2,CTG
1-2022,"6,232,412,000",nhom-3,CTG
1-2022,"1,993,653,000",nhom-4,CTG
1-2022,"7,095,479,000",nhom-5,CTG
1-2022,"119,142,805,000",nhom-1,EIB
1-2022,"989,603,000",nhom-2,EIB
1-2022,"171,574,000",nhom-3,EIB
1-2022,"811,257,000",nhom-4,EIB
1-2022,"1,438,032,000",nhom-5,EIB
1-2022,"215,939,616,000",nhom-1,HDB
1-2022,"5,673,591,000",nhom-2,HDB
1-2022,"835,798,000",nhom-3,HDB
1-2022,"2,033,944,000",nhom-4,HDB
1-2022,"670,946,000",nhom-5,HDB
1-2022,"204,527,717,000",nhom-1,LVB
1-2022,"1,648,901,000",nhom-2,LVB
1-2022,"419,537,000",nhom-3,LVB
1-2022,"1,041,655,000",nhom-4,LVB
1-2022,"1,316,326,000",nhom-5,LVB
1-2022,"398,978,438,000",nhom-1,MBB
1-2022,"4,859,334,000",nhom-2,MBB
1-2022,"1,322,871,000",nhom-3,MBB
1-2022,"1,538,168,000",nhom-4,MBB
1-2022,"1,268,903,000",nhom-5,MBB
1-2022,"107,807,308,000",nhom-1,MSB
1-2022,"794,003,000",nhom-2,MSB
1-2022,"324,140,000",nhom-3,MSB
1-2022,"548,133,000",nhom-4,MSB
1-2022,"1,104,921,000",nhom-5,MSB
1-2022,"98,821,266,769",nhom-1,OCB
1-2022,"4,601,685,822",nhom-2,OCB
1-2022,"583,648,806",nhom-3,OCB
1-2022,"698,474,239",nhom-4,OCB
1-2022,"1,011,289,104",nhom-5,OCB
1-2022,"406,026,948,000",nhom-1,STB
1-2022,"1,701,702,000",nhom-2,STB
1-2022,"318,797,000",nhom-3,STB
1-2022,"677,263,000",nhom-4,STB
1-2022,"4,303,112,000",nhom-5,STB
1-2022,"125,274,231,000",nhom-1,SSB
1-2022,"209,319,000",nhom-2,SSB
1-2022,"345,515,000",nhom-3,SSB
1-2022,"331,680,000",nhom-4,SSB
1-2022,"1,427,414,000",nhom-5,SSB
1-2022,"361,122,209,000",nhom-1,TCB
1-2022,"2,178,609,000",nhom-2,TCB
1-2022,"510,052,000",nhom-3,TCB
1-2022,"1,120,846,000",nhom-4,TCB
1-2022,"810,920,000",nhom-5,TCB
1-2022,"137,993,967,000",nhom-1,TPB
1-2022,"2,077,054,000",nhom-2,TPB
1-2022,"510,516,000",nhom-3,TPB
1-2022,"348,890,000",nhom-4,TPB
1-2022,"297,430,000",nhom-5,TPB
1-2022,"1,015,997,915,000",nhom-1,VCB
1-2022,"4,529,344,000",nhom-2,VCB
1-2022,"1,459,318,000",nhom-3,VCB
1-2022,"1,692,859,000",nhom-4,VCB
1-2022,"5,220,308,000",nhom-5,VCB
1-2022,"338,024,077,000",nhom-1,VPB
1-2022,"18,339,084,000",nhom-2,VPB
1-2022,"6,339,355,000",nhom-3,VPB
1-2022,"9,795,313,000",nhom-4,VPB
1-2022,"1,959,229,000",nhom-5,VPB
2-2022,"387,687,497,000",nhom-1,ACB
2-2022,"1,505,941,000",nhom-2,ACB
2-2022,"269,314,000",nhom-3,ACB
2-2022,"538,725,000",nhom-4,ACB
2-2022,"2,190,149,000",nhom-5,ACB
2-2022,"1,450,588,098,000",nhom-1,BID
2-2022,"17,311,539,000",nhom-2,BID
2-2022,"4,071,228,000",nhom-3,BID
2-2022,"2,463,819,000",nhom-4,BID
2-2022,"8,604,080,000",nhom-5,BID
2-2022,"1,206,354,542,000",nhom-1,CTG
2-2022,"15,452,498,000",nhom-2,CTG
2-2022,"3,338,484,000",nhom-3,CTG
2-2022,"1,474,814,000",nhom-4,CTG
2-2022,"11,862,942,000",nhom-5,CTG
2-2022,"120,938,871,000",nhom-1,EIB
2-2022,"1,245,636,000",nhom-2,EIB
2-2022,"208,628,000",nhom-3,EIB
2-2022,"282,911,000",nhom-4,EIB
2-2022,"1,852,070,000",nhom-5,EIB
2-2022,"229,115,462,000",nhom-1,HDB
2-2022,"5,406,328,000",nhom-2,HDB
2-2022,"1,139,465,000",nhom-3,HDB
2-2022,"1,063,876,000",nhom-4,HDB
2-2022,"963,291,000",nhom-5,HDB
2-2022,"202,646,391,000",nhom-1,LVB
2-2022,"2,149,163,000",nhom-2,LVB
2-2022,"482,070,000",nhom-3,LVB
2-2022,"451,121,000",nhom-4,LVB
2-2022,"2,020,283,000",nhom-5,LVB
2-2022,"398,763,874,000",nhom-1,MBB
2-2022,"5,668,182,000",nhom-2,MBB
2-2022,"1,981,317,000",nhom-3,MBB
2-2022,"1,167,832,000",nhom-4,MBB
2-2022,"1,826,595,000",nhom-5,MBB
2-2022,"107,888,092,000",nhom-1,MSB
2-2022,"920,245,000",nhom-2,MSB
2-2022,"265,511,000",nhom-3,MSB
2-2022,"457,406,000",nhom-4,MSB
2-2022,"939,590,000",nhom-5,MSB
2-2022,"104,541,601,668",nhom-1,OCB
2-2022,"2,931,269,004",nhom-2,OCB
2-2022,"526,735,712",nhom-3,OCB
2-2022,"685,784,855",nhom-4,OCB
2-2022,"931,647,169",nhom-5,OCB
2-2022,"407,660,579,000",nhom-1,STB
2-2022,"1,618,291,000",nhom-2,STB
2-2022,"417,893,000",nhom-3,STB
2-2022,"622,849,000",nhom-4,STB
2-2022,"4,242,021,000",nhom-5,STB
2-2022,"143,092,487,000",nhom-1,SSB
2-2022,"351,507,000",nhom-2,SSB
2-2022,"541,268,000",nhom-3,SSB
2-2022,"404,458,000",nhom-4,SSB
2-2022,"1,447,113,000",nhom-5,SSB
2-2022,"387,394,959,000",nhom-1,TCB
2-2022,"2,069,517,000",nhom-2,TCB
2-2022,"509,320,000",nhom-3,TCB
2-2022,"890,753,000",nhom-4,TCB
2-2022,"959,253,000",nhom-5,TCB
2-2022,"147,482,310,000",nhom-1,TPB
2-2022,"2,315,896,000",nhom-2,TPB
2-2022,"406,238,000",nhom-3,TPB
2-2022,"430,524,000",nhom-4,TPB
2-2022,"448,696,000",nhom-5,TPB
2-2022,"1,088,187,647,000",nhom-1,VCB
2-2022,"5,951,273,000",nhom-2,VCB
2-2022,"1,360,317,000",nhom-3,VCB
2-2022,"664,359,000",nhom-4,VCB
2-2022,"4,688,567,000",nhom-5,VCB
2-2022,"356,681,372,000",nhom-1,VPB
2-2022,"15,197,832,000",nhom-2,VPB
2-2022,"6,562,887,000",nhom-3,VPB
2-2022,"9,091,202,000",nhom-4,VPB
2-2022,"4,970,961,000",nhom-5,VPB
3-2022,"392,608,426,000",nhom-1,ACB
3-2022,"1,755,366,000",nhom-2,ACB
3-2022,"304,543,000",nhom-3,ACB
3-2022,"561,114,000",nhom-4,ACB
3-2022,"3,190,407,000",nhom-5,ACB
3-2022,"1,456,111,309,000",nhom-1,BID
3-2022,"18,667,339,000",nhom-2,BID
3-2022,"2,834,257,000",nhom-3,BID
3-2022,"4,160,092,000",nhom-4,BID
3-2022,"13,130,869,000",nhom-5,BID
3-2022,"1,205,180,923,000",nhom-1,CTG
3-2022,"22,405,860,000",nhom-2,CTG
3-2022,"3,039,827,000",nhom-3,CTG
3-2022,"2,198,208,000",nhom-4,CTG
3-2022,"12,413,720,000",nhom-5,CTG
3-2022,"123,957,127,000",nhom-1,EIB
3-2022,"1,073,307,000",nhom-2,EIB
3-2022,"405,325,000",nhom-3,EIB
3-2022,"372,419,000",nhom-4,EIB
3-2022,"1,638,556,000",nhom-5,EIB
3-2022,"237,451,144,000",nhom-1,HDB
3-2022,"5,255,956,000",nhom-2,HDB
3-2022,"1,492,451,000",nhom-3,HDB
3-2022,"1,105,806,000",nhom-4,HDB
3-2022,"1,192,527,000",nhom-5,HDB
3-2022,"220,871,796,000",nhom-1,LVB
3-2022,"2,860,151,000",nhom-2,LVB
3-2022,"771,080,000",nhom-3,LVB
3-2022,"574,138,000",nhom-4,LVB
3-2022,"1,837,730,000",nhom-5,LVB
3-2022,"407,761,023,000",nhom-1,MBB
3-2022,"6,954,720,000",nhom-2,MBB
3-2022,"1,674,218,000",nhom-3,MBB
3-2022,"1,225,278,000",nhom-4,MBB
3-2022,"1,515,517,000",nhom-5,MBB
3-2022,"108,412,430,000",nhom-1,MSB
3-2022,"2,085,109,000",nhom-2,MSB
3-2022,"343,130,000",nhom-3,MSB
3-2022,"350,439,000",nhom-4,MSB
3-2022,"987,859,000",nhom-5,MSB
3-2022,"105,802,400,199",nhom-1,OCB
3-2022,"4,983,522,993",nhom-2,OCB
3-2022,"523,909,861",nhom-3,OCB
3-2022,"577,936,612",nhom-4,OCB
3-2022,"1,699,370,799",nhom-5,OCB
3-2022,"415,375,527,000",nhom-1,STB
3-2022,"1,581,666,000",nhom-2,STB
3-2022,"450,875,000",nhom-3,STB
3-2022,"577,733,000",nhom-4,STB
3-2022,"2,762,252,000",nhom-5,STB
3-2022,"143,966,724,000",nhom-1,SSB
3-2022,"467,226,000",nhom-2,SSB
3-2022,"445,031,000",nhom-3,SSB
3-2022,"436,741,000",nhom-4,SSB
3-2022,"1,467,938,000",nhom-5,SSB
3-2022,"404,985,717,000",nhom-1,TCB
3-2022,"2,894,826,000",nhom-2,TCB
3-2022,"721,081,000",nhom-3,TCB
3-2022,"837,035,000",nhom-4,TCB
3-2022,"1,107,195,000",nhom-5,TCB
3-2022,"151,663,112,000",nhom-1,TPB
3-2022,"3,102,149,000",nhom-2,TPB
3-2022,"396,528,000",nhom-3,TPB
3-2022,"362,868,000",nhom-4,TPB
3-2022,"666,345,000",nhom-5,TPB
3-2022,"1,117,075,083,000",nhom-1,VCB
3-2022,"4,065,394,000",nhom-2,VCB
3-2022,"2,313,416,000",nhom-3,VCB
3-2022,"959,410,000",nhom-4,VCB
3-2022,"5,730,698,000",nhom-5,VCB
3-2022,"363,619,638,000",nhom-1,VPB
3-2022,"18,834,817,000",nhom-2,VPB
3-2022,"6,394,578,000",nhom-3,VPB
3-2022,"8,118,930,000",nhom-4,VPB
3-2022,"5,679,361,000",nhom-5,VPB
4-2022,"406,268,269,000",nhom-1,ACB
4-2022,"2,345,123,000",nhom-2,ACB
4-2022,"442,270,000",nhom-3,ACB
4-2022,"437,272,000",nhom-4,ACB
4-2022,"2,165,373,000",nhom-5,ACB
4-2022,"1,479,020,073,000",nhom-1,BID
4-2022,"25,586,039,000",nhom-2,BID
4-2022,"3,219,345,000",nhom-3,BID
4-2022,"2,642,928,000",nhom-4,BID
4-2022,"11,760,159,000",nhom-5,BID
4-2022,"1,229,104,701,000",nhom-1,CTG
4-2022,"29,921,198,000",nhom-2,CTG
4-2022,"7,305,070,000",nhom-3,CTG
4-2022,"2,255,841,000",nhom-4,CTG
4-2022,"6,234,899,000",nhom-5,CTG
4-2022,"126,818,432,000",nhom-1,EIB
4-2022,"1,340,522,000",nhom-2,EIB
4-2022,"264,618,000",nhom-3,EIB
4-2022,"450,518,000",nhom-4,EIB
4-2022,"1,631,524,000",nhom-5,EIB
4-2022,"252,065,283,000",nhom-1,HDB
4-2022,"7,386,909,000",nhom-2,HDB
4-2022,"1,848,250,000",nhom-3,HDB
4-2022,"1,414,595,000",nhom-4,HDB
4-2022,"1,141,346,000",nhom-5,HDB
4-2022,"221,428,595,000",nhom-1,LVB
4-2022,"3,325,470,000",nhom-2,LVB
4-2022,"574,041,000",nhom-3,LVB
4-2022,"807,468,000",nhom-4,LVB
4-2022,"1,808,418,000",nhom-5,LVB
4-2022,"443,974,756,000",nhom-1,MBB
4-2022,"7,808,932,000",nhom-2,MBB
4-2022,"1,517,212,000",nhom-3,MBB
4-2022,"1,220,770,000",nhom-4,MBB
4-2022,"2,293,312,000",nhom-5,MBB
4-2022,"116,949,235,000",nhom-1,MSB
4-2022,"1,637,538,000",nhom-2,MSB
4-2022,"611,653,000",nhom-3,MSB
4-2022,"439,624,000",nhom-4,MSB
4-2022,"1,005,492,000",nhom-5,MSB
4-2022,"114,097,472,966",nhom-1,OCB
4-2022,"3,034,114,929",nhom-2,OCB
4-2022,"670,539,466",nhom-3,OCB
4-2022,"625,718,717",nhom-4,OCB
4-2022,"1,374,723,686",nhom-5,OCB
4-2022,"428,847,741,000",nhom-1,STB
4-2022,"5,481,202,000",nhom-2,STB
4-2022,"560,727,000",nhom-3,STB
4-2022,"731,065,000",nhom-4,STB
4-2022,"3,007,042,000",nhom-5,STB
4-2022,"147,167,596,000",nhom-1,SSB
4-2022,"418,072,000",nhom-2,SSB
4-2022,"451,178,000",nhom-3,SSB
4-2022,"351,109,000",nhom-4,SSB
4-2022,"1,587,886,000",nhom-5,SSB
4-2022,"407,973,063,000",nhom-1,TCB
4-2022,"8,733,124,000",nhom-2,TCB
4-2022,"1,686,495,000",nhom-3,TCB
4-2022,"1,131,097,000",nhom-4,TCB
4-2022,"999,926,000",nhom-5,TCB
4-2022,"156,544,301,000",nhom-1,TPB
4-2022,"3,091,212,000",nhom-2,TPB
4-2022,"385,026,000",nhom-3,TPB
4-2022,"467,003,000",nhom-4,TPB
4-2022,"505,421,000",nhom-5,TPB
4-2022,"1,133,174,813,000",nhom-1,VCB
4-2022,"4,083,359,000",nhom-2,VCB
4-2022,"412,647,000",nhom-3,VCB
4-2022,"772,146,000",nhom-4,VCB
4-2022,"6,623,285,000",nhom-5,VCB
4-2022,"389,363,235,000",nhom-1,VPB
4-2022,"23,837,678,000",nhom-2,VPB
4-2022,"7,945,484,000",nhom-3,VPB
4-2022,"10,031,492,000",nhom-4,VPB
4-2022,"7,160,158,000",nhom-5,VPB
